time, N, D, A, C
160 , 14683 , 393 , 119627 , 878
161 , 14686 , 393 , 119628 , 874
162 , 14689 , 393 , 119625 , 874
163 , 14689 , 393 , 119623 , 876
164 , 14687 , 393 , 119621 , 880
165 , 14688 , 392 , 119620 , 881
166 , 14686 , 392 , 119622 , 881
167 , 14682 , 393 , 119622 , 884
168 , 14684 , 391 , 119626 , 880
169 , 14682 , 393 , 119628 , 878
170 , 14686 , 392 , 119628 , 875
171 , 14683 , 394 , 119625 , 879
172 , 14684 , 392 , 119629 , 876
173 , 14677 , 394 , 119628 , 883
174 , 14677 , 393 , 119631 , 882
175 , 14673 , 395 , 119630 , 885
176 , 14675 , 392 , 119631 , 886
177 , 14669 , 394 , 119628 , 895
178 , 14672 , 394 , 119627 , 894
179 , 14671 , 394 , 119630 , 891
180 , 14679 , 391 , 119629 , 885
181 , 14664 , 394 , 119632 , 894
182 , 14666 , 394 , 119632 , 894
183 , 14666 , 393 , 119633 , 893
184 , 14662 , 392 , 119638 , 893
185 , 14666 , 391 , 119631 , 900
186 , 14656 , 389 , 119638 , 904
187 , 14653 , 389 , 119641 , 908
188 , 14651 , 388 , 119646 , 907
189 , 14649 , 387 , 119650 , 907
190 , 14654 , 386 , 119666 , 891
191 , 14644 , 389 , 119671 , 894
192 , 14645 , 388 , 119678 , 886
193 , 14645 , 387 , 119679 , 888
194 , 14639 , 387 , 119682 , 891
195 , 14638 , 387 , 119686 , 888
196 , 14633 , 388 , 119689 , 894
197 , 14638 , 388 , 119687 , 891
198 , 14643 , 388 , 119685 , 888
199 , 14645 , 388 , 119677 , 892
200 , 14639 , 385 , 119682 , 895
201 , 14630 , 386 , 119684 , 903
202 , 14640 , 383 , 119696 , 889
203 , 14637 , 386 , 119699 , 888
204 , 14640 , 384 , 119704 , 881
205 , 14631 , 387 , 119708 , 883
206 , 14644 , 384 , 119710 , 870
207 , 14636 , 387 , 119714 , 873
208 , 14647 , 388 , 119706 , 870
209 , 14653 , 389 , 119696 , 872
210 , 14659 , 392 , 119686 , 872
211 , 14662 , 394 , 119679 , 874
212 , 14671 , 394 , 119669 , 871
213 , 14673 , 399 , 119657 , 874
214 , 14678 , 395 , 119655 , 874
215 , 14683 , 398 , 119648 , 873
216 , 14684 , 401 , 119633 , 880
217 , 14688 , 396 , 119635 , 872
218 , 14686 , 399 , 119631 , 875
219 , 14688 , 400 , 119630 , 871
220 , 14691 , 402 , 119620 , 874
221 , 14697 , 401 , 119615 , 872
222 , 14693 , 404 , 119607 , 879
223 , 14694 , 405 , 119601 , 881
224 , 14692 , 404 , 119601 , 883
225 , 14692 , 405 , 119600 , 883
226 , 14692 , 407 , 119593 , 885
227 , 14703 , 404 , 119588 , 879
228 , 14702 , 406 , 119580 , 883
229 , 14698 , 407 , 119579 , 888
230 , 14688 , 409 , 119572 , 901
231 , 14695 , 411 , 119558 , 907
232 , 14688 , 412 , 119553 , 919
233 , 14690 , 418 , 119539 , 929
234 , 14689 , 423 , 119525 , 936
235 , 14714 , 413 , 119491 , 949
236 , 14699 , 413 , 119470 , 979
237 , 14683 , 411 , 119470 , 997
238 , 14684 , 412 , 119449 , 1020
239 , 14674 , 408 , 119447 , 1030
240 , 14663 , 407 , 119457 , 1031
241 , 14667 , 408 , 119458 , 1030
242 , 14662 , 410 , 119467 , 1026
243 , 14667 , 414 , 119463 , 1024
244 , 14664 , 412 , 119475 , 1013
245 , 14681 , 408 , 119481 , 995
246 , 14668 , 407 , 119483 , 1003
247 , 14677 , 404 , 119485 , 1001
248 , 14664 , 405 , 119500 , 997
249 , 14652 , 403 , 119522 , 995
250 , 14643 , 401 , 119537 , 1007
251 , 14637 , 396 , 119564 , 997
252 , 14630 , 398 , 119590 , 987
253 , 14635 , 395 , 119599 , 981
254 , 14636 , 401 , 119603 , 972
255 , 14648 , 397 , 119607 , 958
256 , 14647 , 401 , 119612 , 951
257 , 14652 , 406 , 119622 , 927
258 , 14647 , 407 , 119622 , 928
259 , 14664 , 406 , 119605 , 932
260 , 14665 , 403 , 119588 , 947
